calls		time		avg		function
600		    2200.5		3.668		room.process.roomMove
1064		1446.7		1.360		role.deliverer.run
42186		1425.8		0.034		Room.find
3224		777.7		0.241		RoomPosition.findClosestByPath
715		    749.9		1.049		role.deliverer.selectTarget
669		    719.6		1.076		role.deliverer.runPickup
585		    686.2		1.173		role.deliverer.runDeliver
880		    384.0		0.436		role.harvester.run
12841		304.4		0.024		Structure.isActive
814		    284.8		0.350		Creep.moveTo
745		    274.5		0.368		role.basic.goTo
844		    239.2		0.283		role.harvester.runHarvest
6949		229.6		0.033		RoomPosition.findInRange
507		    221.6		0.437		role.upgrader.run
20		    194.5		9.727		scp.collect_stats
600		    188.6		0.314		utils.roomDraw
45149		179.5		0.004		role.deliverer.getLabMineralType
816		    178.4		0.219		Creep.harvest
6107		170.7		0.028		RoomPosition.findClosestByRange
793		    151.3		0.191		Creep.move
34879		134.8		0.004		role.deliverer.getLabMineralAmount
507		    124.6		0.246		role.upgrader.runUpgrade
Avg: 163.90	Total: 3277.92	Ticks: 20
