calls		time		avg		function
300		1099.1		3.664		room.process.roomMove
602		719.2		1.195		role.deliverer.run
22733		606.5		0.027		Room.find
2252		422.6		0.188		RoomPosition.findClosestByPath
272		413.5		1.520		role.deliverer.selectTarget
377		350.6		0.930		role.deliverer.runPickup
351		340.6		0.970		role.deliverer.runDeliver
9586		219.0		0.023		Structure.isActive
425		186.8		0.440		role.harvester.run
464		153.8		0.332		Creep.moveTo
412		141.9		0.344		role.basic.goTo
4141		128.5		0.031		RoomPosition.findInRange
280		113.5		0.405		role.upgrader.run
389		107.0		0.275		role.harvester.runHarvest
300		105.4		0.351		utils.roomDraw
10		99.9		9.988		scp.collect_stats
425		87.2		0.205		Creep.move
384		83.6		0.218		Creep.harvest
311		66.2		0.213		Creep.moveByPath
280		65.8		0.235		role.upgrader.runUpgrade
279		59.7		0.214		Creep.upgradeController
60		51.8		0.864		utils.roomSpawn
300		51.5		0.172		role.tower.run
360		48.3		0.134		role.tower.runInternal
104		45.3		0.435		role.harvester.runDeliver
3018		45.2		0.015		RoomPosition.findClosestByRange
168		44.6		0.265		RoomPosition.findPathTo
168		42.1		0.251		Room.findPath
4365		41.2		0.009		Room.terminal:get
1308		40.5		0.031		RoomObject.link:get
1		40.4		40.390		market.manageInventory
90		40.1		0.445		role.reserve.run
702		40.0		0.057		role.basic.repairEmergency
14		40.0		2.854		market.autoGenerateGoalsForRoom
238		39.0		0.164		Creep.transfer
300		37.6		0.125		role.link.run
308		37.2		0.121		StructureController.container:get
179		31.8		0.177		Creep.withdraw
784		30.7		0.039		role.basic.runDropped
1549		28.2		0.018		Room.spawn:get
785		26.1		0.033		StructureController.link:get
2		25.9		12.954		room.planning.roomPlan
1909		25.6		0.013		Room.spawns:get
60		24.8		0.413		room.remoteHarvesting.getOrder
104		23.9		0.230		role.harvester.selectTarget
15712		23.9		0.002		RoomPosition.inRangeTo
82		22.5		0.274		role.upgrader.runPickup
643		18.7		0.029		RoomObject.container:get
3956		17.4		0.004		RoomVisual.text
110		17.3		0.157		Creep.signController
90		17.1		0.191		Creep.reserveController
266		14.0		0.053		market.getTotalMineralAmount
10		13.9		1.390		market.runReactions
80		12.6		0.157		market.runRoomReactions
1244		12.5		0.010		Room.links:get
36		10.7		0.299		market.runReaction
29		10.5		0.362		utils.createDeliverer
36		10.5		0.291		StructureLab.runReaction
3411		10.4		0.003		StructureLab.mineralDemand:get
80		10.0		0.125		role.mineralHarvester.run
1		9.4		9.410		market.sellExcess
145		9.3		0.064		RoomObject.storage:get
20		9.1		0.457		role.scout.run
300		8.7		0.029		role.factory.run
300		8.5		0.028		utils.safeModeIfDanger
60		7.8		0.130		StructureSpawn.Spawning
396		7.7		0.019		RoomVisual.resource
76		7.7		0.101		role.mineralHarvester.runHarvest
111		7.6		0.069		room.planning.tryBuild
3712		7.4		0.002		RoomPosition.isNearTo
10		7.3		0.730		scp.collect_stats_end
1		7.3		7.252		room.planning.tryExtensions
10		7.0		0.700		room.claim.roomGetSpawnOrders
111		6.9		0.062		RoomPosition.createConstructionSite
422		6.7		0.016		RoomVisual.poly
111		6.5		0.058		Room.createConstructionSite
47		6.1		0.130		RoomObject.isNearBase:get
26		5.9		0.225		Creep.repair
300		5.7		0.019		Room.getEventLog
141		5.4		0.038		role.link.runInternal
29		5.0		0.174		utils.getPathMultiroom
510		4.4		0.009		RoomVisual.circle
18		4.3		0.241		StructureLink.transferEnergy
100		4.2		0.042		role.factory.selectProduction
417		4.2		0.010		role.deliverer.storeResType
145		3.8		0.026		Room.extractor:get
296		3.4		0.011		RoomVisual._compound
1726		3.3		0.002		RoomPosition.getRangeTo
4		2.9		0.731		room.planning.tryRoad
815		2.9		0.004		role.basic.moveToRoom
409		2.8		0.007		Room.labs:get
1276		2.6		0.002		RoomPosition.isEqualTo
762		2.5		0.003		Creep.getActiveBodyparts
100		2.4		0.024		RoomVisual._mineral
52		2.3		0.045		market.matchOrderInternal
25		2.2		0.087		role.mineralHarvester.needHarvester
1		2.1		2.120		market.setupReactions
14		2.0		0.146		market.setupReactionsForRoom
82		2.0		0.024		role.upgrader.getSource
150		1.8		0.012		role.factory.getFactory
280		1.7		0.006		role.boost.needsBoosting
8		1.6		0.205		market.setupRoomReagents
388		1.6		0.004		role.basic.findSource
30		1.6		0.053		role.boost.prepareLabs
1		1.1		1.120		market.shareEnergyInternal
3		1.1		0.373		role.basic.recycleCreep
183		1.1		0.006		RoomPosition.lookFor
47		0.9		0.019		Source.slots
103		0.8		0.008		Room.mineral:get
4		0.8		0.198		role.mineralHarvester.runDeliver
3		0.8		0.261		StructureSpawn.spawnCreep
3		0.7		0.249		StructureTower.repair
329		0.7		0.002		Room.lookForAt
1		0.6		0.640		market.shareResource
47		0.6		0.012		Room.lookForAtArea
129		0.5		0.004		Creep.say
29		0.5		0.016		utils.isPathRoaded
1		0.4		0.382		StructureTerminal.send
146		0.4		0.003		StructureLab.mineralDemand:set
120		0.3		0.003		Room.config:get
10		0.2		0.023		role.boost.getAvailableBoost
1		0.2		0.228		StructureSpawn.recycleCreep
10		0.2		0.020		market.recentPrice
40		0.2		0.005		role.boost.isBoostingEnabled
4		0.2		0.047		utils.getBodyParts
2		0.1		0.050		market.tryCreateOrder
4		0.1		0.020		utils.prefillParts
1		0.0		0.036		Room.getTerrain
1		0.0		0.015		Room.Terrain
8		0.0		0.002		market.getReagents
1		0.0		0.009		market.clearOrders
