calls		time		avg		function
3000		10070.1		3.357		room.process.roomMove
5878		6256.0		1.064		role.deliverer.run
220359		5492.5		0.025		Room.find
19063		3384.3		0.178		RoomPosition.findClosestByPath
2227		3312.5		1.487		role.deliverer.selectTarget
3336		3058.4		0.917		role.deliverer.runDeliver
3595		2952.2		0.821		role.deliverer.runPickup
4535		2024.5		0.446		role.harvester.run
79039		1867.9		0.024		Structure.isActive
4998		1757.6		0.352		Creep.moveTo
4412		1622.4		0.368		role.basic.goTo
39253		1321.9		0.034		RoomPosition.findInRange
4229		1195.2		0.283		role.harvester.runHarvest
100		    1071.4		10.714		scp.collect_stats
2476		1024.4		0.414		role.upgrader.run
3000		982.6		0.328		utils.roomDraw
4804		974.6		0.203		Creep.move
4130		898.8		0.218		Creep.harvest
3542		754.7		0.213		Creep.moveByPath
2443		583.4		0.239		role.upgrader.runUpgrade
3000		566.7		0.189		role.tower.run
3600		530.4		0.147		role.tower.runInternal
Avg: 158.69	Total: 15869.49	Ticks: 100
